question_id,bottom_models,top_models,top_minus_bottom,discriminative_group
0,0.5,1.0,0.5,top_models_better
1,0.0,1.0,1.0,top_models_better
2,1.0,0.0,-1.0,bottom_models_better
3,1.0,1.0,0.0,no_difference
4,0.0,0.5,0.5,top_models_better
5,1.0,1.0,0.0,no_difference
6,0.5,0.0,-0.5,bottom_models_better
7,0.0,0.0,0.0,no_difference
8,1.0,1.0,0.0,no_difference
9,1.0,1.0,0.0,no_difference
10,0.0,1.0,1.0,top_models_better
11,0.5,1.0,0.5,top_models_better
12,0.5,1.0,0.5,top_models_better
13,1.0,1.0,0.0,no_difference
14,0.0,0.0,0.0,no_difference
15,0.0,0.5,0.5,top_models_better
16,0.0,0.0,0.0,no_difference
17,0.5,1.0,0.5,top_models_better
18,0.0,1.0,1.0,top_models_better
19,0.5,0.5,0.0,no_difference
20,1.0,1.0,0.0,no_difference
21,0.5,1.0,0.5,top_models_better
22,0.5,1.0,0.5,top_models_better
23,0.5,1.0,0.5,top_models_better
24,0.5,0.5,0.0,no_difference
25,1.0,1.0,0.0,no_difference
26,0.5,0.5,0.0,no_difference
27,0.0,0.0,0.0,no_difference
28,0.5,1.0,0.5,top_models_better
29,1.0,1.0,0.0,no_difference
30,0.0,0.0,0.0,no_difference
31,0.5,0.5,0.0,no_difference
32,0.5,1.0,0.5,top_models_better
33,0.0,0.0,0.0,no_difference
34,0.0,0.5,0.5,top_models_better
35,0.0,0.5,0.5,top_models_better
36,1.0,1.0,0.0,no_difference
37,0.0,0.5,0.5,top_models_better
38,1.0,1.0,0.0,no_difference
39,0.5,1.0,0.5,top_models_better
40,0.0,0.5,0.5,top_models_better
41,1.0,1.0,0.0,no_difference
42,1.0,1.0,0.0,no_difference
43,1.0,1.0,0.0,no_difference
44,0.5,0.5,0.0,no_difference
45,0.5,0.5,0.0,no_difference
46,0.5,0.0,-0.5,bottom_models_better
47,0.5,1.0,0.5,top_models_better
48,0.5,1.0,0.5,top_models_better
49,0.0,0.5,0.5,top_models_better
50,0.5,1.0,0.5,top_models_better
51,0.5,0.5,0.0,no_difference
52,1.0,1.0,0.0,no_difference
53,0.0,0.0,0.0,no_difference
54,0.0,0.5,0.5,top_models_better
55,1.0,1.0,0.0,no_difference
56,0.5,1.0,0.5,top_models_better
57,0.0,0.0,0.0,no_difference
58,0.5,0.5,0.0,no_difference
59,0.0,0.0,0.0,no_difference
60,0.0,1.0,1.0,top_models_better
61,0.5,0.0,-0.5,bottom_models_better
62,1.0,1.0,0.0,no_difference
63,1.0,1.0,0.0,no_difference
64,1.0,1.0,0.0,no_difference
65,0.5,1.0,0.5,top_models_better
66,0.0,0.0,0.0,no_difference
67,0.0,0.0,0.0,no_difference
68,1.0,1.0,0.0,no_difference
69,0.0,1.0,1.0,top_models_better
70,0.0,1.0,1.0,top_models_better
71,1.0,1.0,0.0,no_difference
72,0.0,0.0,0.0,no_difference
73,1.0,1.0,0.0,no_difference
74,1.0,0.5,-0.5,bottom_models_better
75,0.5,1.0,0.5,top_models_better
76,0.0,0.5,0.5,top_models_better
77,0.0,0.0,0.0,no_difference
78,0.0,0.0,0.0,no_difference
79,0.0,0.5,0.5,top_models_better
80,0.5,1.0,0.5,top_models_better
81,1.0,0.5,-0.5,bottom_models_better
82,1.0,0.0,-1.0,bottom_models_better
83,0.0,1.0,1.0,top_models_better
84,1.0,1.0,0.0,no_difference
85,0.5,0.5,0.0,no_difference
86,0.0,0.5,0.5,top_models_better
87,0.0,1.0,1.0,top_models_better
88,1.0,0.5,-0.5,bottom_models_better
89,0.5,1.0,0.5,top_models_better
90,0.0,0.0,0.0,no_difference
91,1.0,1.0,0.0,no_difference
92,0.0,0.5,0.5,top_models_better
93,1.0,0.5,-0.5,bottom_models_better
94,0.0,0.5,0.5,top_models_better
95,1.0,0.5,-0.5,bottom_models_better
96,1.0,0.5,-0.5,bottom_models_better
97,0.5,1.0,0.5,top_models_better
98,1.0,1.0,0.0,no_difference
99,0.5,0.5,0.0,no_difference
100,1.0,1.0,0.0,no_difference
101,1.0,1.0,0.0,no_difference
102,0.5,1.0,0.5,top_models_better
103,1.0,1.0,0.0,no_difference
104,0.0,1.0,1.0,top_models_better
105,0.0,0.5,0.5,top_models_better
106,1.0,1.0,0.0,no_difference
107,1.0,1.0,0.0,no_difference
108,1.0,1.0,0.0,no_difference
109,1.0,1.0,0.0,no_difference
110,0.0,1.0,1.0,top_models_better
111,1.0,1.0,0.0,no_difference
112,0.0,1.0,1.0,top_models_better
113,0.0,0.5,0.5,top_models_better
114,0.0,0.0,0.0,no_difference
115,0.5,1.0,0.5,top_models_better
116,0.0,0.5,0.5,top_models_better
117,0.0,0.0,0.0,no_difference
118,0.5,1.0,0.5,top_models_better
119,0.0,1.0,1.0,top_models_better
120,1.0,1.0,0.0,no_difference
121,1.0,0.5,-0.5,bottom_models_better
122,0.5,1.0,0.5,top_models_better
