question_id,llama3.1:8b,qwen2.5:7b-instruct,is_same
0,1,1,True
1,1,1,True
2,1,0,False
3,1,1,True
4,0,0,True
5,0,1,False
6,0,0,True
7,0,0,True
8,1,1,True
9,1,1,True
10,0,1,False
11,0,1,False
12,0,1,False
13,0,1,False
14,0,0,True
15,0,1,False
16,0,0,True
17,0,1,False
18,1,1,True
19,1,0,False
20,0,1,False
21,1,1,True
22,0,1,False
23,1,1,True
24,1,1,True
25,1,1,True
26,0,1,False
27,0,0,True
28,0,1,False
29,1,1,True
30,0,0,True
31,0,1,False
32,0,1,False
33,0,0,True
34,1,1,True
35,0,1,False
36,1,1,True
37,1,1,True
38,0,1,False
39,1,1,True
40,0,1,False
41,1,1,True
42,0,1,False
43,1,1,True
44,1,1,True
45,0,1,False
46,1,0,False
47,0,1,False
48,1,1,True
49,1,1,True
50,0,1,False
51,0,0,True
52,1,1,True
53,0,0,True
54,0,1,False
55,1,1,True
56,1,1,True
57,1,0,False
58,1,0,False
59,0,0,True
60,0,1,False
61,1,0,False
62,0,1,False
63,1,1,True
64,0,1,False
65,0,1,False
66,0,0,True
67,0,0,True
68,1,1,True
69,0,1,False
70,1,1,True
71,1,1,True
72,0,0,True
73,1,1,True
74,0,1,False
75,0,1,False
76,1,1,True
77,0,0,True
78,1,0,False
79,0,0,True
80,0,1,False
81,1,0,False
82,0,0,True
83,1,1,True
84,1,1,True
85,0,1,False
86,0,1,False
87,0,1,False
88,1,0,False
89,0,1,False
90,1,0,False
91,1,1,True
92,0,1,False
93,0,1,False
94,0,1,False
95,0,1,False
96,1,0,False
97,1,1,True
98,1,1,True
99,1,1,True
100,1,1,True
101,1,1,True
102,0,1,False
103,1,1,True
104,0,1,False
105,0,0,True
106,1,1,True
107,1,1,True
108,1,1,True
109,0,1,False
110,1,1,True
111,1,1,True
112,0,1,False
113,1,1,True
114,0,0,True
115,0,1,False
116,1,0,False
117,0,0,True
118,1,1,True
119,1,1,True
120,1,1,True
121,1,1,True
122,1,1,True
123,0,1,False
124,0,1,False
125,1,1,True
126,1,1,True
127,1,1,True
128,1,1,True
129,1,1,True
130,0,0,True
131,1,1,True
132,0,0,True
133,0,0,True
134,1,1,True
135,0,0,True
136,1,1,True
137,1,1,True
138,1,0,False
139,1,1,True
140,1,1,True
141,1,1,True
142,1,1,True
143,0,1,False
144,0,1,False
145,0,0,True
146,0,1,False
147,1,1,True
148,0,1,False
149,1,0,False
150,1,1,True
151,1,1,True
152,0,1,False
153,1,1,True
154,0,0,True
155,1,1,True
156,1,1,True
157,0,1,False
158,0,0,True
159,1,0,False
160,1,1,True
161,1,1,True
162,0,1,False
163,0,1,False
164,0,1,False
165,0,0,True
166,1,1,True
167,1,1,True
168,0,0,True
169,1,1,True
170,1,1,True
171,1,1,True
172,1,1,True
173,0,0,True
174,0,0,True
175,1,1,True
176,0,1,False
177,1,1,True
178,0,0,True
179,1,1,True
180,0,0,True
181,0,0,True
182,0,1,False
183,1,1,True
184,0,1,False
185,1,1,True
186,0,0,True
187,0,0,True
188,0,1,False
189,0,1,False
190,1,0,False
191,1,1,True
192,0,1,False
193,1,0,False
194,1,1,True
195,1,1,True
196,1,1,True
197,0,1,False
198,0,0,True
199,1,1,True
200,0,1,False
201,0,0,True
202,0,0,True
203,0,0,True
204,0,0,True
205,0,0,True
206,1,1,True
207,0,0,True
208,1,0,False
209,0,0,True
210,1,1,True
211,1,1,True
212,1,0,False
213,0,0,True
214,1,1,True
215,0,0,True
216,0,1,False
217,1,1,True
218,1,1,True
219,0,0,True
220,1,1,True
221,0,0,True
222,0,0,True
223,0,1,False
224,1,1,True
225,1,1,True
226,1,1,True
227,0,1,False
228,0,1,False
229,0,0,True
230,0,0,True
231,0,0,True
232,1,0,False
233,1,1,True
234,0,1,False
235,1,1,True
236,1,1,True
237,0,0,True
238,0,1,False
239,1,1,True
240,0,1,False
241,0,1,False
242,1,1,True
243,1,1,True
244,1,1,True
245,0,1,False
246,1,0,False
247,0,1,False
248,1,1,True
249,1,1,True
250,0,1,False
251,0,0,True
252,1,1,True
253,0,0,True
254,0,0,True
255,1,1,True
256,0,1,False
257,1,1,True
258,0,0,True
259,1,1,True
260,1,1,True
261,1,1,True
262,0,1,False
263,1,0,False
264,1,1,True
265,1,1,True
266,1,0,False
267,0,1,False
268,1,1,True
269,0,0,True
270,1,1,True
271,0,1,False
272,1,1,True
273,1,1,True
274,0,1,False
275,1,1,True
276,1,1,True
277,1,0,False
278,0,0,True
279,0,0,True
280,1,1,True
281,0,0,True
282,1,1,True
283,1,0,False
284,0,0,True
285,1,1,True
286,1,1,True
287,0,0,True
288,1,1,True
289,0,0,True
290,0,0,True
291,0,0,True
292,0,0,True
293,0,0,True
294,1,1,True
295,0,0,True
296,0,0,True
297,0,0,True
298,0,0,True
299,1,1,True
300,1,1,True
301,1,1,True
302,0,1,False
303,0,0,True
304,0,1,False
305,1,0,False
306,0,0,True
307,1,1,True
308,0,1,False
309,1,0,False
310,1,1,True
311,0,0,True
312,1,1,True
313,1,1,True
314,1,1,True
315,0,1,False
316,0,1,False
317,1,1,True
318,1,1,True
319,1,1,True
320,0,0,True
321,1,1,True
322,1,1,True
323,0,0,True
324,1,1,True
325,0,1,False
326,0,0,True
327,1,0,False
328,0,1,False
329,1,1,True
330,0,1,False
331,1,1,True
332,1,1,True
333,0,1,False
334,0,1,False
335,1,0,False
336,0,1,False
337,1,1,True
338,0,1,False
339,1,0,False
340,1,1,True
341,1,0,False
342,1,1,True
343,1,1,True
344,1,1,True
345,1,1,True
346,1,0,False
347,1,1,True
348,0,1,False
349,1,1,True
350,1,1,True
351,0,0,True
