question_id,model_count,correct_count,incorrect_count,accuracy_per_item,difficulty,item_group,correct_models,wrong_models
0,6,5,1,0.8333,0.1667,mixed,mistral:7b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,gemma3:4b
1,6,3,3,0.5,0.5,mixed,phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b;llama3.2:3b
2,6,4,2,0.6667,0.3333,mixed,mistral:7b;gemma3:4b;llama3.2:3b;llama3.1:8b,phi3:mini;qwen2.5:7b-instruct
3,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
4,6,1,5,0.1667,0.8333,mixed,qwen2.5:7b-instruct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b
5,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
6,6,2,4,0.3333,0.6667,mixed,mistral:7b;llama3.2:3b,gemma3:4b;phi3:mini;llama3.1:8b;qwen2.5:7b-instruct
7,6,1,5,0.1667,0.8333,mixed,llama3.1:8b,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;qwen2.5:7b-instruct
8,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
9,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
10,6,4,2,0.6667,0.3333,mixed,mistral:7b;phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,gemma3:4b;llama3.2:3b
11,6,3,3,0.5,0.5,mixed,gemma3:4b;phi3:mini;qwen2.5:7b-instruct,mistral:7b;llama3.2:3b;llama3.1:8b
12,6,3,3,0.5,0.5,mixed,gemma3:4b;phi3:mini;qwen2.5:7b-instruct,mistral:7b;llama3.2:3b;llama3.1:8b
13,6,5,1,0.8333,0.1667,mixed,gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b
14,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
15,6,1,5,0.1667,0.8333,mixed,qwen2.5:7b-instruct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b
16,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
17,6,5,1,0.8333,0.1667,mixed,mistral:7b;gemma3:4b;phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,llama3.2:3b
18,6,2,4,0.3333,0.6667,mixed,phi3:mini;qwen2.5:7b-instruct,mistral:7b;gemma3:4b;llama3.2:3b;llama3.1:8b
19,6,3,3,0.5,0.5,mixed,phi3:mini;llama3.2:3b;llama3.1:8b,mistral:7b;gemma3:4b;qwen2.5:7b-instruct
20,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
21,6,5,1,0.8333,0.1667,mixed,mistral:7b;gemma3:4b;phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,llama3.2:3b
22,6,4,2,0.6667,0.3333,mixed,mistral:7b;gemma3:4b;phi3:mini;qwen2.5:7b-instruct,llama3.2:3b;llama3.1:8b
23,6,5,1,0.8333,0.1667,mixed,mistral:7b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,gemma3:4b
24,6,3,3,0.5,0.5,mixed,mistral:7b;gemma3:4b;qwen2.5:7b-instruct,phi3:mini;llama3.2:3b;llama3.1:8b
