variant,model,total_answers,correct_answers,accuracy
original,qwen2.5:7b-instruct,500,344,0.688
original,phi3:mini,497,303,0.6097
original,llama3.1:8b,500,290,0.58
original,mistral:7b,500,272,0.544
original,gemma3:4b,500,265,0.53
original,llama3.2:3b,500,245,0.49
naive_pruning,qwen2.5:7b-instruct,172,129,0.75
naive_pruning,phi3:mini,171,105,0.614
naive_pruning,mistral:7b,172,93,0.5407
naive_pruning,gemma3:4b,172,87,0.5058
naive_pruning,llama3.1:8b,172,82,0.4767
naive_pruning,llama3.2:3b,172,74,0.4302
balanced_pruning,qwen2.5:7b-instruct,182,134,0.7363
balanced_pruning,phi3:mini,181,110,0.6077
balanced_pruning,mistral:7b,182,97,0.533
balanced_pruning,gemma3:4b,182,92,0.5055
balanced_pruning,llama3.1:8b,182,87,0.478
balanced_pruning,llama3.2:3b,182,79,0.4341
